year,state,county,FIPS,candidate,party,candidatevotes,totalvotes,relative_votes
2012,Arkansas,Chicot,5017,Mitt Romney,republican,1670.0,4361,38.666357953229905
2012,Arkansas,Clark,5019,Barack Obama,democrat,3811.0,8409,46.73779740004907
2012,Arkansas,Clark,5019,Mitt Romney,republican,4343.0,8409,53.26220259995095
2012,Arkansas,Clay,5021,Barack Obama,democrat,1738.0,5110,35.01914164819666
2012,Arkansas,Clay,5021,Mitt Romney,republican,3225.0,5110,64.98085835180335
2012,Arkansas,Cleburne,5023,Barack Obama,democrat,2620.0,11647,23.15919738354106
2012,Arkansas,Cleburne,5023,Mitt Romney,republican,8693.0,11647,76.84080261645894
2012,Arkansas,Cleveland,5025,Barack Obama,democrat,845.0,3266,26.75744141861938
2012,Arkansas,Cleveland,5025,Mitt Romney,republican,2313.0,3266,73.24255858138062
2012,Arkansas,Columbia,5027,Barack Obama,democrat,3557.0,9455,38.0549909061731
2012,Arkansas,Columbia,5027,Mitt Romney,republican,5790.0,9455,61.9450090938269
2012,Arkansas,Conway,5029,Barack Obama,democrat,3005.0,7730,39.96542093363479
2012,Arkansas,Conway,5029,Mitt Romney,republican,4514.0,7730,60.03457906636521
2012,Arkansas,Craighead,5031,Barack Obama,democrat,10527.0,31700,34.093338083363015
2012,Arkansas,Craighead,5031,Mitt Romney,republican,20350.0,31700,65.90666191663698
2012,Arkansas,Crawford,5033,Barack Obama,democrat,4881.0,20591,24.37331469090183
2012,Arkansas,Crawford,5033,Mitt Romney,republican,15145.0,20591,75.62668530909819
2012,Arkansas,Crittenden,5035,Barack Obama,democrat,9487.0,16716,57.549287230815885
2012,Arkansas,Crittenden,5035,Mitt Romney,republican,6998.0,16716,42.45071276918411
2012,Arkansas,Cross,5037,Barack Obama,democrat,2279.0,6681,34.804520464263895
2012,Arkansas,Cross,5037,Mitt Romney,republican,4269.0,6681,65.1954795357361
2012,Arkansas,Dallas,5039,Barack Obama,democrat,1337.0,3084,44.53697534976682
2012,Arkansas,Dallas,5039,Mitt Romney,republican,1665.0,3084,55.46302465023318
2012,Arkansas,Desha,5041,Barack Obama,democrat,2443.0,4420,56.303295690251204
2012,Arkansas,Desha,5041,Mitt Romney,republican,1896.0,4420,43.696704309748796
2012,Arkansas,Drew,5043,Barack Obama,democrat,2630.0,6633,40.3559920208685
2012,Arkansas,Drew,5043,Mitt Romney,republican,3887.0,6633,59.6440079791315
2012,Arkansas,Faulkner,5045,Barack Obama,democrat,13621.0,41460,33.762982425699626
2012,Arkansas,Faulkner,5045,Mitt Romney,republican,26722.0,41460,66.23701757430038
2012,Arkansas,Franklin,5047,Barack Obama,democrat,1726.0,6540,27.151171936448012
2012,Arkansas,Franklin,5047,Mitt Romney,republican,4631.0,6540,72.84882806355199
2012,Arkansas,Fulton,5049,Barack Obama,democrat,1452.0,4522,32.992501704158144
2012,Arkansas,Fulton,5049,Mitt Romney,republican,2949.0,4522,67.00749829584186
2012,Arkansas,Garland,5051,Barack Obama,democrat,13804.0,40728,34.66773820885027
2012,Arkansas,Garland,5051,Mitt Romney,republican,26014.0,40728,65.33226179114973
2012,Arkansas,Grant,5053,Barack Obama,democrat,1468.0,6479,23.312688581864382
2012,Arkansas,Grant,5053,Mitt Romney,republican,4829.0,6479,76.68731141813562
2012,Arkansas,Greene,5055,Barack Obama,democrat,4000.0,13761,30.60209624359269
2012,Arkansas,Greene,5055,Mitt Romney,republican,9071.0,13761,69.39790375640732
2012,Arkansas,Hempstead,5057,Barack Obama,democrat,2468.0,6921,36.55213270142181
2012,Arkansas,Hempstead,5057,Mitt Romney,republican,4284.0,6921,63.4478672985782
2012,Arkansas,Hot Spring,5059,Barack Obama,democrat,3830.0,11260,35.05079161709527
2012,Arkansas,Hot Spring,5059,Mitt Romney,republican,7097.0,11260,64.94920838290473
2012,Arkansas,Howard,5061,Barack Obama,democrat,1471.0,4462,33.715333486133396
2012,Arkansas,Howard,5061,Mitt Romney,republican,2892.0,4462,66.28466651386661
2012,Arkansas,Independence,5063,Barack Obama,democrat,3281.0,12397,27.321175784828053
2012,Arkansas,Independence,5063,Mitt Romney,republican,8728.0,12397,72.67882421517196
2012,Arkansas,Izard,5065,Barack Obama,democrat,1524.0,5278,29.888213375171603
2012,Arkansas,Izard,5065,Mitt Romney,republican,3575.0,5278,70.1117866248284
2012,Arkansas,Jackson,5067,Barack Obama,democrat,2095.0,5347,40.54577124056512
2012,Arkansas,Jackson,5067,Mitt Romney,republican,3072.0,5347,59.45422875943488
2012,Arkansas,Jefferson,5069,Barack Obama,democrat,17470.0,27383,64.72767691737681
2012,Arkansas,Jefferson,5069,Mitt Romney,republican,9520.0,27383,35.272323082623195
2012,Arkansas,Johnson,5071,Barack Obama,democrat,2799.0,8098,35.59710034338039
2012,Arkansas,Johnson,5071,Mitt Romney,republican,5064.0,8098,64.40289965661961
2012,Arkansas,Lafayette,5073,Barack Obama,democrat,1173.0,2929,40.644490644490645
2012,Arkansas,Lafayette,5073,Mitt Romney,republican,1713.0,2929,59.355509355509355
2012,Arkansas,Lawrence,5075,Barack Obama,democrat,1788.0,5540,33.58377160030052
2012,Arkansas,Lawrence,5075,Mitt Romney,republican,3536.0,5540,66.41622839969948
2012,Arkansas,Lee,5077,Barack Obama,democrat,2107.0,3424,62.2084440507824
2012,Arkansas,Lee,5077,Mitt Romney,republican,1280.0,3424,37.7915559492176
2012,Arkansas,Lincoln,5079,Barack Obama,democrat,1425.0,3726,39.32119205298013
2012,Arkansas,Lincoln,5079,Mitt Romney,republican,2199.0,3726,60.67880794701986
2012,Arkansas,Little River,5081,Barack Obama,democrat,1552.0,5051,31.436094794409556
2012,Arkansas,Little River,5081,Mitt Romney,republican,3385.0,5051,68.56390520559044
2012,Arkansas,Logan,5083,Barack Obama,democrat,2009.0,7331,28.343679458239283
2012,Arkansas,Logan,5083,Mitt Romney,republican,5079.0,7331,71.65632054176072
2012,Arkansas,Lonoke,5085,Barack Obama,democrat,5625.0,24114,23.93107849393746
2012,Arkansas,Lonoke,5085,Mitt Romney,republican,17880.0,24114,76.06892150606255
2012,Arkansas,Madison,5087,Barack Obama,democrat,2099.0,6568,32.99276956931782
2012,Arkansas,Madison,5087,Mitt Romney,republican,4263.0,6568,67.00723043068217
2012,Arkansas,Marion,5089,Barack Obama,democrat,2037.0,7051,29.90750256937307
2012,Arkansas,Marion,5089,Mitt Romney,republican,4774.0,7051,70.09249743062692
2012,Arkansas,Miller,5091,Barack Obama,democrat,4518.0,15329,29.841479524438572
2012,Arkansas,Miller,5091,Mitt Romney,republican,10622.0,15329,70.15852047556143
2012,Arkansas,Mississippi,5093,Barack Obama,democrat,6467.0,13375,49.47972456006121
2012,Arkansas,Mississippi,5093,Mitt Romney,republican,6603.0,13375,50.52027543993879
2012,Arkansas,Monroe,5095,Barack Obama,democrat,1583.0,3230,49.968434343434346
2012,Arkansas,Monroe,5095,Mitt Romney,republican,1585.0,3230,50.03156565656565
2012,Arkansas,Montgomery,5097,Barack Obama,democrat,920.0,3404,27.97202797202797
2012,Arkansas,Montgomery,5097,Mitt Romney,republican,2369.0,3404,72.02797202797203
2012,Arkansas,Nevada,5099,Barack Obama,democrat,1314.0,3384,39.697885196374614
2012,Arkansas,Nevada,5099,Mitt Romney,republican,1996.0,3384,60.302114803625386
2012,Arkansas,Newton,5101,Barack Obama,democrat,993.0,3661,28.363324764353038
2012,Arkansas,Newton,5101,Mitt Romney,republican,2508.0,3661,71.63667523564695
2012,Arkansas,Ouachita,5103,Barack Obama,democrat,4633.0,10315,45.62733897971243
2012,Arkansas,Ouachita,5103,Mitt Romney,republican,5521.0,10315,54.37266102028757
2012,Arkansas,Perry,5105,Barack Obama,democrat,1187.0,3938,31.502123142250532
2012,Arkansas,Perry,5105,Mitt Romney,republican,2581.0,3938,68.49787685774947
2012,Arkansas,Phillips,5107,Barack Obama,democrat,5202.0,7930,66.69230769230771
2012,Arkansas,Phillips,5107,Mitt Romney,republican,2598.0,7930,33.30769230769231
2012,Arkansas,Pike,5109,Barack Obama,democrat,851.0,3788,23.0124391563007
2012,Arkansas,Pike,5109,Mitt Romney,republican,2847.0,3788,76.9875608436993
2012,Arkansas,Poinsett,5111,Barack Obama,democrat,2390.0,7560,32.45518739815318
2012,Arkansas,Poinsett,5111,Mitt Romney,republican,4974.0,7560,67.54481260184683
2012,Arkansas,Polk,5113,Barack Obama,democrat,1556.0,7726,20.716282785248307
2012,Arkansas,Polk,5113,Mitt Romney,republican,5955.0,7726,79.2837172147517
2012,Arkansas,Pope,5115,Barack Obama,democrat,5126.0,20439,25.773040374076125
2012,Arkansas,Pope,5115,Mitt Romney,republican,14763.0,20439,74.22695962592387
2012,Arkansas,Prairie,5117,Barack Obama,democrat,880.0,3141,29.01417738212991
2012,Arkansas,Prairie,5117,Mitt Romney,republican,2153.0,3141,70.9858226178701
2012,Arkansas,Pulaski,5119,Barack Obama,democrat,87248.0,159381,55.84515336166727
2012,Arkansas,Pulaski,5119,Mitt Romney,republican,68984.0,159381,44.15484663833274
2012,Arkansas,Randolph,5121,Barack Obama,democrat,2046.0,5956,35.601183226030976
2012,Arkansas,Randolph,5121,Mitt Romney,republican,3701.0,5956,64.39881677396903
2012,Arkansas,St. Francis,5123,Barack Obama,democrat,4910.0,8362,59.313843923653046
2012,Arkansas,St. Francis,5123,Mitt Romney,republican,3368.0,8362,40.686156076346954
2012,Arkansas,Saline,5125,Barack Obama,democrat,12869.0,47062,28.0786350148368
2012,Arkansas,Saline,5125,Mitt Romney,republican,32963.0,47062,71.92136498516321
2012,Arkansas,Scott,5127,Barack Obama,democrat,897.0,3640,25.42517006802721
2012,Arkansas,Scott,5127,Mitt Romney,republican,2631.0,3640,74.5748299319728
2012,Arkansas,Searcy,5129,Barack Obama,democrat,814.0,3694,23.171078849985772
2012,Arkansas,Searcy,5129,Mitt Romney,republican,2699.0,3694,76.82892115001424
2012,Arkansas,Sebastian,5131,Barack Obama,democrat,13092.0,43362,30.978916731738487
2012,Arkansas,Sebastian,5131,Mitt Romney,republican,29169.0,43362,69.02108326826153
2012,Arkansas,Sevier,5133,Barack Obama,democrat,1042.0,4330,24.940162757300143
2012,Arkansas,Sevier,5133,Mitt Romney,republican,3136.0,4330,75.05983724269986
2012,Arkansas,Sharp,5135,Barack Obama,democrat,2092.0,7283,29.830315129046053
2012,Arkansas,Sharp,5135,Mitt Romney,republican,4921.0,7283,70.16968487095394
2012,Arkansas,Stone,5137,Barack Obama,democrat,1356.0,5354,26.42244738893219
2012,Arkansas,Stone,5137,Mitt Romney,republican,3776.0,5354,73.57755261106782
2012,Arkansas,Union,5139,Barack Obama,democrat,6196.0,17177,36.673572062740455
2012,Arkansas,Union,5139,Mitt Romney,republican,10699.0,17177,63.32642793725954
2012,Arkansas,Van Buren,5141,Barack Obama,democrat,1832.0,6430,29.56269162497983
2012,Arkansas,Van Buren,5141,Mitt Romney,republican,4365.0,6430,70.43730837502017
2012,Arkansas,Washington,5143,Barack Obama,democrat,28236.0,70460,41.569989988811024
2012,Arkansas,Washington,5143,Mitt Romney,republican,39688.0,70460,58.430010011188976
2012,Arkansas,White,5145,Barack Obama,democrat,5765.0,26514,22.36576660459342
2012,Arkansas,White,5145,Mitt Romney,republican,20011.0,26514,77.63423339540658
2012,Arkansas,Woodruff,5147,Barack Obama,democrat,1340.0,2685,52.201012855473316
2012,Arkansas,Woodruff,5147,Mitt Romney,republican,1227.0,2685,47.79898714452669
2012,Arkansas,Yell,5149,Barack Obama,democrat,1722.0,5974,29.875086745315752
2012,Arkansas,Yell,5149,Mitt Romney,republican,4042.0,5974,70.12491325468424
2012,California,Alameda,6001,Barack Obama,democrat,469684.0,595642,81.2790508526198
2012,California,Alameda,6001,Mitt Romney,republican,108182.0,595642,18.720949147380193
2012,California,Alpine,6003,Barack Obama,democrat,389.0,653,62.24
2012,California,Alpine,6003,Mitt Romney,republican,236.0,653,37.76
